;Infracciones;AOL;Suspensiones;Juicio Experto;N° Dest Sin AOL;Ton Dest SIN AOL;N° Patentes Utilizadas;Prom Días (Fecha Recurso a Fecha Declaración);N° Regiones destino;N° Transacciones;N° Destinatarios;N° Especies Visadas;N° Declaraciones Origen;Toneladas Abastecimiento;Abastecimiento DA;Abastecimiento DI;Abastecimiento COM;N° Declaraciones de Proveedor;Toneladas Destinos;N° Declaraciones Abastecimiento;Toneladas Stock;N° Declaraciones Destinos;Toneladas Visadas;N° Solicitudes AOL;Prom Tons AOL
Jonathan Dos Santos |Villarreal & Mexico;0;0;0;;127;5,71;1;14;1;200;2;3;89;11,64;0;0;11,64;100;6,04;94;5,99;106;0,455;5;0,09
Bas Dost |Wolfsburg & Holland;0;0;0;;83;58,50;1;1;1;31;1;2;91;64,24;64,235;0;0;91;64,24;14;0,00;17;6,213;2;3,11
Douglas Costa |Bayern Munich & Brazil;0;0;0;;80;3,58;1;24;1;150;1;2;78;7,26;0;0;7,256;74;3,63;75;3,62;75;0,11;2;0,06
Julian Draxler |Wolfsburg & Germany;0;0;0;;71;46,34;1;15;1;127;1;1;66;42,81;37,118;0;5,695;66;46,84;61;0,00;66;0,495;2;0,25
Jimmy Durmaz |Olympiakos & Sweden*;0;0;0;;16;0,46;2;90;1;27;3;3;6;0,61;0;0;0,61;6;0,55;7;0,06;20;0,189;5;0,04
Paulo Dybala |Juventus & Argentina;0;0;0;;2;0,14;2;5;3;14;8;2;5;5,18;0;0;5,184;3;2,62;3;2,56;11;2,885;10;0,29
Balazs Dzsudzsak |Bursaspor & Hungary*;0;1;0;;2;1,40;2;61;1;5;1;4;1;1,12;0;0;1,12;1;1,52;1;0,00;4;1,61;3;0,54
Artyom Dzyuba |Zenit & Russia;0;0;0;;0;0,00;2;1;1;10;2;1;7;4,50;0;0;4,5;5;4,50;5;0,00;5;4,5;5;0,90
der | Inter & Italy*;0;0;0;;0;0,00;5;2;1;48;18;3;13;3,24;0,93;0;2,31;18;1,93;18;1,32;30;1,995;30;0,07
Mohamed Elneny | Arsenal & Egypt;0;0;0;;0;0,00;1;2;1;2;1;1;1;1,00;0;0;1;1;1,00;1;0,00;1;1;1;1,00
Breel Embolo | Basel & Switzerland;0;0;0;;0;0,00;1;3;1;7;1;2;6;0,19;0;0;0,192;6;0,01;6;0,19;1;0,019;1;0,02
Vincent Enyeama | Lille & Nigeria;0;41;1;;7;1,50;7;7;2;319;51;1;65;39,71;5,8;0;33,905;57;39,96;57;0,10;262;38,897;262;0,15
Christian Eriksen | Tottenham & Denmark;0;2;1;;0;0,00;3;0;1;78;4;1;39;50,52;50,515;0;0;39;50,52;39;0,00;39;50,515;39;1,30
Cristian Espinoza | Huracán & Argentina*;0;0;1;;0;0,00;2;7;2;3;2;4;1;0,20;0;0;0,2;1;0,20;1;0,00;2;4,425;2;2,21
Jonny Evans | West Brom & Northern Ireland*;0;0;0;;2.093;1.567,49;0;1;0;381;0;0;2092;1.567,49;0;0;1567,49;252;1.567,49;190;0,00;191;0;1;0,00
rank Fabra | Boca Juniors & Colombia*;0;0;0;;288;2,10;0;42;0;331;0;0;73;2,44;0;0;2,435;82;2,10;67;0,40;264;0;1;0,00
Cesc Fàbregas | Chelsea & Spain;0;0;0;;285;5,57;1;12;1;527;2;4;69;7,67;0;0;7,673;361;5,72;361;1,99;166;0,207;8;0,03
Diego Fagundez | New England Rev & Uruguay*;0;0;0;;251;8,41;0;37;0;252;0;0;23;7,31;0;0;7,31;21;8,41;17;0,00;235;0;1;0,00
Ralf Fahrmann | Schalke & Germany*;0;0;0;;199;145,59;0;176;0;174;0;0;530;238,68;0;56,541;146,366;175;145,59;149;91,75;25;0;1;0,00
Sofiane Feghouli | Valencia & Algeria;0;11;0;;119;73,05;11;16;2;1200;140;10;157;176,39;0;0;176,391;86;212,00;86;0,00;1.114;557,555;1.064;0,52
Nabil Fekir | Lyon & France;0;2;0;;113;82,67;2;5;1;58;1;2;132;103,57;103,568;0;0;132;103,57;29;0,00;29;24,299;6;4,05
Felipe Anderson | Lazio & Brazil;0;0;0;;110;2,08;2;17;1;154;1;5;65;2,94;0;0;2,939;76;2,17;72;0,78;82;2,802;3;0,93
Fernandao | Fenerbahçe & Brazil*;0;0;0;;92;1,16;3;4;1;590;3;13;70;10,09;0;0;10,089;88;9,90;88;0,19;502;18,438;414;0,04
Augusto Fernández | At Madrid & Argentina*;0;0;0;;87;2,30;0;29;0;98;0;0;44;2,28;0;0;2,28;44;2,30;38;0,00;60;0;1;0,00
Fernandinho | Manchester City & Brazil;0;0;0;;85;3,47;1;15;1;147;2;10;64;6,30;0;0;6,304;77;4,67;71;1,88;76;2,558;15;0,17
Roberto Firmino | Liverpool & Brazil;0;0;0;;74;89,00;1;1;1;72;1;1;66;91,20;0;0;88,999;40;91,20;32;0,00;40;2,195;2;1,10
Alessandro Florenzi | Roma & Italy*;0;80;0;;64;49,02;13;1;1;644;1;4;2369;2.007,33;2005,283;0;2,05;2.369;2.007,33;322;0,00;322;2033,394;316;6,43
Diego Forlán | Peñarol & Uruguay*;0;0;0;;55;1,69;1;16;1;92;1;5;42;2,24;0;0;2,243;43;1,71;42;0,53;50;0,186;2;0,09
Kostas Fortounis | Olympiakos & Greece*;0;0;0;;55;6,98;2;23;1;81;5;8;42;8,16;0;0;8,158;41;8,39;35;0,00;46;5,859;11;0,53
Manolo Gabbiadini Napoli & Italy;0;0;0;;52;3,10;0;102;0;80;0;0;50;3,10;0;0;3,103;51;3,10;47;0,00;33;0;1;0,00
Gabi | Atletico Madrid & Spain;0;2;0;;40;1,79;6;13;2;134;9;20;58;5,54;0;0;5,535;54;5,21;52;0,36;82;13,218;46;0,29
Gabriel Barbosa Santos & Brazil*;0;0;0;;40;0,86;0;35;0;60;0;0;29;1,31;0;0;1,31;37;0,86;32;0,45;28;0;1;0,00
Gabriel Jesus Palmeiras & Brazil*;0;0;0;;35;1,05;0;10;0;61;0;0;30;1,33;0;0;1,33;32;1,05;28;0,28;33;0;1;0,00
Nico Gaitan Benfica & Argentina;0;1;0;;33;0,87;2;21;1;81;1;5;34;1,16;0;0;1,155;40;1,16;40;0,00;41;0,48;12;0,04
Kevin Gameiro | Sevilla & France*;0;0;0;;32;0,44;0;43;0;28;0;0;27;0,36;0;0;0,357;31;0,44;14;0,00;14;0;1;0,00
Ezequiel Garay Zenit and Argentina;0;2;0;;31;1,27;5;5;3;185;11;8;67;7,77;0,62;0;7,15;71;7,67;67;0,10;118;14,755;91;0,16
Shkelzen Gashi Colorado Rapids & Albania;0;1;0;;29;2,63;20;2;5;136;18;5;39;7,63;7,618;0;0,01;40;7,63;38;0,00;98;6,286;75;0,08
Valere Germain Nice (loan Monaco) & Fra*;0;0;0;;28;3,21;1;83;1;40;1;1;28;3,03;0;0;3,03;27;3,34;22;0,09;18;0,13;3;0,04
Andre-Pierre Gignac Tigres & France;0;2;0;;26;0,41;3;5;1;441;20;17;142;15,68;0;0;15,678;145;9,04;144;6,63;297;77,802;274;0,28
Jose Giménez | At Madrid & Uruguay;0;1;0;;25;1,08;13;18;1;374;30;28;116;15,88;0;0;15,877;115;9,88;95;6,15;279;54,991;263;0,21
Matthias Ginter Dortmund & Germany*;0;0;0;;24;0,46;2;66;1;45;2;6;17;1,72;0;0;1,717;17;0,64;15;1,08;30;0,515;11;0,05
Sebastian Giovinco | Toronto & Italy;0;99;0;;23;2,06;1;3;2;318;31;1;20;22,49;0;0;22,489;16;22,78;16;0,10;302;20,723;287;0,07
Olivier Giroud Arsenal & France;0;0;0;;22;0,35;0;50;0;26;0;0;13;0,36;0;0;0,36;17;0,35;12;0,09;14;0;1;0,00
Diego Godín | Atletico Madrid & Uruguay;0;0;0;;19;12,83;2;0;2;23;2;1;17;14,58;8,583;0;6;15;14,58;10;0,00;13;1,75;3;0,58
Gokhan Tore Besiktas & Turkey*;0;0;0;;18;1,21;0;42;0;23;0;0;11;1,21;0;0;1,211;11;1,21;10;0,00;13;0;1;0,00
Andre Gomes Valencia & Portugal*;0;0;0;;17;7,77;0;3;0;26;0;0;17;7,77;6,932;0;0,842;17;7,77;14;0,00;12;0;1;0,00
Maxime Gonalons Lyon & France;0;0;0;;17;0,66;1;26;1;33;4;4;17;0,98;0;0;0,98;18;0,82;18;0,27;15;0,36;7;0,05
Goncalo Guedes Benfica & Portugal*;0;0;0;;14;0,57;5;6;1;59;15;5;12;3,37;0;0;3,365;11;2,15;10;1,21;49;2,248;36;0,06
Cesar Gonzalez Dep Tachira & Venezuela*;0;2;0;;14;0,40;4;10;1;38;5;12;15;0,95;0;0;0,945;16;0,77;16;0,18;22;2,499;12;0,21
Mark Gonzalez Sport & Chile;0;0;0;;14;0,59;15;12;3;67;15;8;16;1,57;0;0;1,567;15;1,57;15;0,00;52;17,044;39;0,44
Mario Gotze Bayern Munich & Germany;0;0;0;;14;3,75;0;57;0;4;0;0;7;3,75;0;0;3,748;2;3,75;2;0,00;2;0;1;0,00
Ricardo Goulart Guangzhou Ev & Brazil;0;0;0;;14;2,64;3;66;2;9;4;1;13;3,04;0;0;3,044;13;3,77;4;0,30;5;1,137;5;0,23
Andreas Granqvist Krasnodar & Sweden*;0;0;0;;13;0,50;0;41;0;14;0;0;1;0,50;0;0;0,5;1;0,50;1;0,00;13;0;1;0,00
Antoine Griezmann | At Madrid & France;0;2;0;;12;0,51;2;33;1;25;4;5;10;0,63;0;0;0,625;10;0,70;10;0,01;15;1,442;5;0,29
Andres Guardado | PSV & México;0;0;0;;11;0,21;0;30;0;15;0;0;9;0,19;0;0;0,188;8;0,21;7;0,00;8;0;1;0,00
Nemanja Gudelj Ajax & Serbia;0;0;0;;11;1,70;2;40;1;24;2;2;14;2,31;0;0;2,31;15;1,78;14;0,92;10;0,175;3;0,06
Paulo Guerrero Flamengo & Peru*;0;90;0;;10;0,55;2;2;5;782;49;2;107;86,04;0;0;86,035;68;86,04;69;0,00;713;86,61;708;0,12
John Guidetti | Celta & Sweden*;0;39;0;;10;1,70;9;9;2;247;42;1;36;19,28;1,15;0;18,128;37;19,43;37;0,00;210;17,728;203;0,09
Ilkay Gundogan Bor Dortmund & Germany;0;0;0;;10;0,72;1;121;1;19;1;1;9;0,76;0;0;0,76;9;0,82;9;0,26;10;0,1;2;0,05
Gaston Guruceaga Penarol & Uruguay*;0;0;0;;9;0,38;2;31;1;24;4;5;12;0,95;0;0;0,951;11;0,74;10;0,29;14;1,97;8;0,25
Asamoah Gyan Shanghai SIPG & Ghana;0;0;0;;8;7,41;0;1;0;10;0;0;8;7,41;0;0;7,405;5;7,41;5;0,00;5;0;1;0,00
ebastien Haller Utrecht & France*;0;0;0;;8;0,26;0;40;0;12;0;0;6;0,18;0;0;0,181;6;0,26;6;0,03;6;0;1;0,00
Marek Hamsik Napoli & Slovakia;0;0;0;;8;0,12;0;52;0;12;0;0;3;0,12;0;0;0,121;4;0,12;4;0,00;8;0;1;0,00
Samir Handanovic | Inter & Slovenia;0;0;0;;8;0,65;0;60;0;14;0;0;8;1,26;0;0;1,255;8;0,65;8;0,61;6;0;1;0,00
Martin Hansen Den Haag & Denmark*;0;0;0;;8;1,26;0;84;0;6;0;0;2;0,41;0;0;0,41;4;1,26;4;0,00;2;0;1;0,00
Jack Harrison New York City & England*;0;0;0;;7;1,80;1;20;1;16;1;1;6;5,37;5,366;0;0;6;5,47;6;0,00;10;3,673;5;0,73
Joe Hart Manchester City & England;0;5;0;;7;0,71;3;23;1;39;7;7;12;3,06;0;0;3,039;13;3,42;13;0,00;26;12,487;25;0,50
Eden Hazard Chelsea & Belgium;0;0;0;;7;2,81;0;37;0;11;0;0;4;2,76;2,761;0;0;4;2,81;4;0,00;7;0;1;0,00
Jonas Hector Cologne & Germany*;0;0;0;;7;0,34;1;43;1;18;2;6;6;0,39;0;0;0,386;7;0,39;7;0,00;11;0,11;5;0,02
Markus Henriksen AZ & Norway*;0;1;0;;7;0,16;1;79;1;19;3;9;4;0,33;0;0;0,331;6;0,33;6;0,00;13;1,116;8;0,14
Angelo Henriquez Dinamo Zagreb & Chile*;0;0;0;;6;2,43;2;2;1;14;1;1;6;2,54;0;0;2,525;7;2,54;7;0,00;7;0,186;3;0,06
Javier Hernández | Bayer 04 Leverkusen & Mexico*;0;0;0;;6;0,52;0;5;0;7;0;0;1;0,52;0;0;0,52;1;0,52;1;0,00;6;0;1;0,00
Hector Herrera Porto & Mexico;0;0;0;;6;0,58;0;10;0;14;0;0;8;1,08;0;0;1,08;8;0,58;8;0,50;6;0;1;0,00
Gonzalo Higuaín | Napoli & Argentina;0;0;0;;5;3,01;1;2;1;4;1;1;9;6,05;0;0;6,054;2;6,05;2;0,00;2;3,049;2;1,52
Martin Hinteregger Gladbach (loan Salzburg) & Aut*;0;1;0;;5;0,25;1;3;3;18;5;3;8;5,19;5,191;0;0;8;5,16;8;0,04;10;11,633;6;1,94
Pierre Hojbjerg Augsburg (loan Schalke) & Den;0;0;0;;5;0,36;7;5;3;23;11;3;8;0,96;0;0;0,96;8;0,96;8;0,00;15;1,258;12;0,10
Keisuke Honda Milan & Japan;0;1;0;;5;0,30;1;7;1;22;5;3;12;1,62;0;0;1,62;11;1,06;10;0,56;12;1,675;10;0,17
Hulk Zenit & Brazil;0;0;0;;5;0,08;0;9;0;6;0;0;1;0,08;0;0;0,08;1;0,08;1;0,00;5;0;1;0,00
Mats Hummels Dortmund & Germany;0;0;0;;5;0,99;1;31;1;9;1;1;2;1,90;0;0;1,9;3;1,89;3;0,01;6;0,9;2;0,45
Khalfan Ibrahim Al Sadd & Qatar;0;0;0;;5;0,23;2;53;1;17;4;1;2;0,55;0,55;0;0;2;0,54;2;0,01;15;0,313;11;0,03
Zlatan Ibrahimovic PSG & Sweden;0;0;0;;5;0,10;0;56;0;3;0;0;1;0,10;0,1;0;0;1;0,10;1;0,00;2;0;1;0,00
Mauro Icardi Internazionale & Argentina;0;0;0;;4;1,73;0;6;0;4;0;0;2;1,73;0;0;1,73;2;1,73;2;0,00;2;0;1;0,00
Odion Ighalo | Watford & Nigeria*;0;0;0;;4;0,15;24;16;3;50;23;7;13;2,00;0;0;2;12;1,81;12;0,19;38;6,901;35;0,20
Josip Ilicic Fiorentina & Slovenia*;0;5;0;;4;0,35;2;36;1;11;3;2;3;0,68;0;0;0;2;0,68;2;0,00;9;0,48;8;0,06
Andres Iniesta | Barcelona & Spain;0;0;0;;4;1,44;1;93;1;4;1;1;3;1,52;0;0;1,52;3;1,54;2;0,00;2;0,1;2;0,05
Iñigo Martínez | Real Sociedad & Spain;0;0;0;;4;0,60;0;155;0;3;0;0;1;0,20;0;0;0,2;1;0,60;1;0,00;2;0;1;0,00
Lorenzo Insigne Napoli & Italy;0;0;0;;4;0,50;0;326;0;3;0;0;2;0,25;0;0;0,25;1;0,50;1;0,00;2;0;1;0,00
Andreas Isaksson Kasimpasa & Sweden;0;0;0;;3;0,95;0;4;0;4;0;0;3;0,95;0;0;0,945;3;0,95;3;0,00;1;0;1;0,00
Isco Alarcón | Real Madrid & Spain;0;0;0;;3;1,45;0;5;0;4;0;0;3;1,45;0;0;1,448;2;1,45;2;0,00;2;0;1;0,00
Dhurgam Ismail Caykur Rizespor & Iraq;0;0;0;;3;0,14;1;13;1;28;1;4;14;0,69;0;0;0,685;14;0,67;14;0,02;14;1,136;12;0,09
Ander Iturraspe Athletic Bilbao & Spain;0;0;0;;3;0,26;0;16;0;6;0;0;3;0,26;0;0;0,259;3;0,26;3;0,00;3;0;1;0,00
Marc Janko Basle & Austria*;0;0;0;;3;0,18;1;17;1;7;1;2;3;0,30;0;0;0,295;3;0,26;3;0,04;4;0,29;2;0,15
Jemerson Monaco & Brazil*;0;0;0;;3;0,06;0;21;0;4;0;0;1;0,06;0;0;0,06;1;0,06;1;0,00;3;0;1;0,00
Roberto Jiménez | Olympiakos & Spain*;0;1;0;;3;0,92;3;24;4;76;8;1;37;27,29;27,285;0;0;37;28,21;33;0,00;43;27,285;41;0,67
Joao Mario Sp Lisbon & Portugal;0;0;0;;2;1,70;3;0;1;42;4;1;47;35,75;35,745;0;0;47;35,75;21;0,00;21;34,045;21;1,62
Joao Moutinho Monaco & Portugal;0;0;0;;2;0,42;3;2;1;9;2;2;4;3,89;3,894;0;0;4;3,35;4;0,55;5;3,684;4;0,92
Andreas Johansson Norrkoping & Sweden*;0;18;0;;2;0,20;31;3;1;1531;76;12;189;153,60;0;0;153,598;216;152,45;211;1,15;1.320;338,6;1.320;0,26
Jonas | Benfica & Brazil*;0;0;0;;2;0,30;1;4;1;6;1;1;4;1,90;0;0;1,9;3;0,40;3;1,50;3;0,1;2;0,05
Stevan Jovetic Internazionale & Montenegro*;0;0;0;;2;2,19;1;5;1;6;1;1;7;7,19;0;0;7,19;3;7,19;3;0,00;3;5;3;1,67
Luka Jovic Benfica & Serbia;0;0;0;;2;0,01;1;6;1;5;1;1;2;0,11;0;0;0,11;2;0,05;2;0,06;3;0,042;2;0,02
Juanfran | Atlético Madrid & Spain;0;1;0;;2;0,28;2;7;1;26;2;2;40;30,37;6,525;0;23,846;18;30,37;14;0,00;12;30,558;12;2,55
Zlatko Junozovic Werder Bremen & Austria*;0;0;0;;2;0,06;0;8;0;5;0;0;4;0,42;0;0;0,415;4;0,06;3;0,36;2;0;1;0,00
Pavel Kaderabek Hoffenheim & Czech Rep*;0;0;0;;2;0,02;0;9;0;4;0;0;1;0,02;0;0;0,021;2;0,02;2;0,00;2;0;1;0,00
Shinji Kagawa Borussia Dortmund & Japan;0;0;0;;2;0,04;0;9;0;4;0;0;2;0,04;0;0;0,037;2;0,04;2;0,00;2;0;1;0,00
KaKa Orlando City & Brazil;0;0;0;;2;1,35;2;10;1;6;2;1;3;1,83;0;0;1,83;3;1,47;2;0,37;4;0,115;3;0,04
Lovre Kalinic Hajduk & Croatia*;0;0;0;;2;2,98;0;17;0;3;0;0;3;3,28;0;0;3,28;2;2,98;2;0,30;1;0;1;0,00
Nikola Kalinic Fiorentina & Croatia*;0;0;0;;2;0,04;0;18;0;4;0;0;2;0,04;0;0;0,04;2;0,04;2;0,00;2;0;1;0,00
Kevin Kampl Bayer Leverkusen & Slovenia;0;0;0;;2;0,08;0;19;0;4;0;0;2;0,08;0;0;0,08;2;0,08;2;0,00;2;0;1;0,00
Harry Kane Tottenham H & England;0;0;0;;2;0,10;0;44;0;4;0;0;2;0,45;0;0;0,45;2;0,10;2;0,35;2;0;1;0,00
N’Golo Kante Leicester City & France*;0;0;0;;2;0,11;2;64;2;11;3;11;4;0,20;0;0;0,2;4;0,34;4;0,00;7;0,412;6;0,07
Robbie Keane LA Galaxy & Rep Ireland;0;0;0;;2;0,58;0;114;0;5;0;0;4;1,45;0;0;1,45;4;0,58;4;1,45;1;0;1;0,00
Neeskens Kebano Genk & DR Congo*;0;0;0;;2;0,17;0;141;0;3;0;0;1;0,04;0;0;0,035;1;0,17;1;0,00;2;0;1;0,00
Ahmed Khalil Al Ahli & UAE*;0;0;0;;2;0,04;0;193;0;1;0;0;0;0,00;0;0;0;0;0,04;0;0,00;1;0;1;0,00
Wahbi Khazri Sunderland & Tunisia*;0;0;0;;1;0,20;1;0;1;3;1;1;1;0,20;0,2;0;0;1;0,40;1;0,00;2;0,2;2;0,10
Sami Khedira Juventus & Germany*;0;0;0;;1;1,06;0;0;0;2;0;0;1;1,06;0;0;1,056;1;1,06;1;0,00;1;0;1;0,00
Joshua Kimmich Bayern Munich & Germany;0;0;0;;1;0,50;0;0;0;2;0;0;1;0,50;0,5;0;0;1;0,50;1;0,00;1;0;1;0,00
Gabor Kiraly Szom Haladas & Hungary*;0;0;0;;1;0,60;0;1;0;2;0;0;1;0,60;0;0;0,6;1;0,60;1;0,00;1;0;1;0,00
Davy Klaassen Ajax & Holland;0;0;0;;1;0,10;0;2;0;2;0;0;1;0,10;0;0;0,1;1;0,10;1;0,00;1;0;1;0,00
Koke | Atletico Madrid & Spain;0;0;0;;1;0,50;0;3;0;2;0;0;1;0,50;0;0;0,5;1;0,50;1;0,00;1;0;1;0,00
Aleksandr Kokorin Zenit & Russia;0;0;0;;1;0,03;0;3;0;2;0;0;1;0,03;0;0;0,027;1;0,03;1;0,00;1;0;1;0,00
Vincent Kompany Man City & Belgium;0;0;0;;1;0,10;0;3;0;2;0;0;1;0,60;0;0;0,6;1;0,10;1;0,50;1;0;1;0,00
Yevhen Konoplyanka Sevilla & Ukraine*;0;0;0;;1;0,05;0;5;0;2;0;0;1;0,05;0;0;0,05;1;0,05;1;0,00;1;0;1;0,00
Julian Korb Bor M’gladbach and Germany*;0;0;0;;1;0,15;0;6;0;2;0;0;1;0,15;0;0;0,15;1;0,15;1;0,00;1;0;1;0,00
Laurent Koscielny Arsenal & France;0;0;0;;1;0,04;0;7;0;2;0;0;1;0,05;0;0;0,05;1;0,04;1;0,01;1;0;1;0,00
Kalidou Koulibaly Napoli & Senegal;0;8;0;;1;0,10;5;8;3;67;26;2;15;28,85;9;0;15,8;16;27,70;16;1,15;51;27,8;51;0,55
Mateo Kovacic Real Madrid & Croatia*;0;0;0;;1;0,19;0;8;0;2;0;0;1;0,19;0;0;0,192;1;0,19;1;0,00;1;0;1;0,00
Christoph Kramer B Leverkusen & Germany;0;0;0;;1;0,01;1;9;1;4;1;1;2;0,03;0;0;0,03;2;0,03;2;0,00;2;0,025;2;0,01
Matias Kranevitter At Madrid & Argentina;0;0;0;;1;0,02;0;11;0;2;0;0;1;0,02;0;0;0,02;1;0,02;1;0,00;1;0;1;0,00
Toni Kroos Real Madrid & Germany;0;0;0;;1;0,03;0;13;0;2;0;0;1;0,05;0;0;0,045;1;0,03;1;0,02;1;0;1;0,00
Max Kruse Wolfsburg and Germany*;0;0;0;;1;0,05;0;17;0;2;0;0;1;0,05;0;0;0,05;1;0,05;1;0,00;1;0;1;0,00
Grzegorz Krychowiak Sevilla & Poland;0;4;0;;1;0,10;1;21;2;16;11;1;3;1,15;0;0;1,15;3;1,15;3;0,00;13;1,05;13;0,08
Juraj Kucka Milan & Slovakia*;0;0;0;;1;0,05;0;24;0;2;0;0;1;0,05;0;0;0,05;1;0,05;1;0,00;1;0;1;0,00
Sven Kums Gent & Belgium*;0;0;0;;1;0,05;0;34;0;2;0;0;1;0,05;0;0;0,05;1;0,05;1;0,00;1;0;1;0,00
Layvin Kurzawa PSG & France;0;0;0;;1;0,05;0;44;0;2;0;0;1;0,05;0;0;0;1;0,05;1;0,00;1;0;1;0,00
Dirk Kuyt Feyenoord & Holland;0;0;0;;1;0,07;1;56;1;8;1;1;4;0,48;0,478;0;0;4;0,40;4;0,15;4;0,329;4;0,08
Kwon Chang-hoon Suwon & South Korea*;0;0;0;;1;0,50;0;77;0;2;0;0;1;0,50;0;0;0,5;1;0,50;1;0,00;1;0;1;0,00
Alexandre Lacazette Lyon & France;0;0;0;;1;0,09;1;105;1;10;3;4;0;0,00;0;0;0;0;0,14;0;0,00;10;0,135;10;0,01
Kyle Lafferty Norwich City & N Ireland*;0;0;0;;1;0,90;0;158;0;1;0;0;0;0,00;0;0;0;0;0,90;0;0,00;1;0;1;0,00
Philipp Lahm Bayern Munich & Germany;0;0;0;;1;0,04;0;188;0;1;0;0;0;0,00;0;0;0;0;0,04;0;0,00;1;0;1;0,00
Erik Lamela Tottenham & Argentina;0;0;0;;1;0,05;0;383;0;1;0;0;0;0,00;0;0;0;0;0,05;0;0,00;1;0;1;0,00
Aymeric Laporte Athletic Bilbao & France;0;1;0;;0;0,00;1;0;1;24;1;1;35;11,52;11,519;0;0;35;11,52;12;0,00;12;11,519;12;0,96
Cyle Larin | Orlando & Canada*;0;1;0;;0;0,00;1;0;1;2;1;2;1;0,03;0,031;0;0;1;0,03;1;0,00;1;0,52;1;0,52
Pierre-Michel Lasogga Hamburg & Ger*;0;0;0;;0;0,00;1;0;1;2;1;1;2;2,08;2,075;0;0;2;2,08;1;0,00;1;2,075;1;2,08
Ezequiel Lavezzi Hebei & Argentina;0;0;0;;0;0,00;1;0;1;2;1;1;1;2,00;0;0;2;1;2,00;1;0,00;1;2;1;2,00
Miguel Layun Porto (loan Watford) & Mexico;0;0;0;;0;0,00;2;0;1;4;1;1;2;3,45;3,45;0;0;2;3,45;2;0,00;2;3,45;2;1,73
Lee Dong-gook Jeonbuk & Korea*;0;0;0;;0;0,00;2;0;1;9;2;1;6;4,88;4,88;0;0;6;3,58;6;0,00;3;3,58;3;1,19
Robert Lewandowski Bayern & Poland;0;0;0;;0;0,00;1;0;1;2;1;1;1;1,01;1,012;0;0;1;1,01;1;0,00;1;1,012;1;1,01
Stephane Lichtsteiner Juventus & Switz*;0;0;0;;0;0,00;1;0;1;2;1;1;1;1,00;1;0;0;1;1,00;1;0,00;1;1;1;1,00
Damian Lizio Botafogo (loan Bolivar) & Bolivia*;0;0;0;;0;0,00;3;0;2;6;3;1;3;2,25;2,245;0;0;3;2,25;3;0,00;3;2,245;3;0,75
Fernando Llorente Sevilla & Spain*;0;0;0;;0;0,00;1;0;1;5;2;1;2;1,80;1,8;0;0;2;1,80;2;0,00;3;1,8;3;0,60
Hugo Lloris Tottenham H & France;0;0;0;;0;0,00;1;0;1;2;1;1;1;0,52;0,522;0;0;1;0,52;1;0,00;1;0,522;1;0,52
Carlos Lobaton Sporting Cristal & Peru*;0;0;0;;0;0,00;1;0;1;2;1;2;1;0,30;0,3;0;0;1;0,30;1;0,00;1;0,4;1;0,40
Nicolas Lodeiro Boca Juniors & Uruguay;0;0;0;;0;0,00;1;0;1;2;1;1;1;0,34;0;0;0,34;1;0,34;1;0,00;1;0,34;1;0,34
